,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,split3_test_roc_auc_ovr,split4_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
8,0.9685924053192139,0.0045825949702980135,0.08056936264038086,0.0002630730351105475,0.1,1000,"{'C': 0.1, 'max_iter': 1000}",0.4068965517241379,0.39655172413793105,0.385146804835924,0.37823834196891193,0.3696027633851468,0.38728723721041036,0.013187573727159077,11,0.5565738900547808,0.5954160651342215,0.5608438494582493,0.5334273849882266,0.6334743958984694,0.5759471171067896,0.03492788565595401,12
9,0.9727259159088135,0.004633344548647883,0.08004450798034668,2.2806079947601546e-05,0.1,10000,"{'C': 0.1, 'max_iter': 10000}",0.4017241379310345,0.39655172413793105,0.385146804835924,0.37823834196891193,0.37132987910189985,0.3865981775951403,0.011251506906410247,12,0.5547938362755953,0.5954160651342215,0.5608438494582493,0.5334273849882266,0.6343274498565733,0.5757617171425732,0.03541363840826816,13
10,0.9717040538787842,0.004206713734126244,0.08067827224731446,0.0007750811394422126,0.1,50000,"{'C': 0.1, 'max_iter': 50000}",0.4017241379310345,0.39655172413793105,0.385146804835924,0.37823834196891193,0.37132987910189985,0.3865981775951403,0.011251506906410247,12,0.5547938362755953,0.5954160651342215,0.5608438494582493,0.5334273849882266,0.6343274498565733,0.5757617171425732,0.03541363840826816,13
11,0.9725875377655029,0.005708793539464489,0.07996115684509278,0.0009062113693694372,0.1,100000,"{'C': 0.1, 'max_iter': 100000}",0.4017241379310345,0.39655172413793105,0.385146804835924,0.37823834196891193,0.37132987910189985,0.3865981775951403,0.011251506906410247,12,0.5547938362755953,0.5954160651342215,0.5608438494582493,0.5334273849882266,0.6343274498565733,0.5757617171425732,0.03541363840826816,13
12,0.9962646007537842,0.036475567506083065,0.08467411994934082,0.007270765479534039,0.01,1000,"{'C': 0.01, 'max_iter': 1000}",0.39482758620689656,0.3896551724137931,0.385146804835924,0.38860103626943004,0.36787564766839376,0.38522124947888753,0.0092112950321567,15,0.6277157931235918,0.6260316071939995,0.6047151846568686,0.605705146273727,0.6395397687295915,0.6207414999955556,0.013512480325882578,1
13,1.012895154953003,0.05186082528732436,0.08151507377624512,0.001428617471306658,0.01,10000,"{'C': 0.01, 'max_iter': 10000}",0.39482758620689656,0.3896551724137931,0.385146804835924,0.38860103626943004,0.36787564766839376,0.38522124947888753,0.0092112950321567,15,0.6277157931235918,0.6260316071939995,0.6047151846568686,0.605705146273727,0.6395397687295915,0.6207414999955556,0.013512480325882578,1
14,0.9690347671508789,0.009624571281724822,0.08068857192993165,0.0007646564831902656,0.01,50000,"{'C': 0.01, 'max_iter': 50000}",0.39482758620689656,0.3896551724137931,0.385146804835924,0.38860103626943004,0.36787564766839376,0.38522124947888753,0.0092112950321567,15,0.6277157931235918,0.6260316071939995,0.6047151846568686,0.605705146273727,0.6395397687295915,0.6207414999955556,0.013512480325882578,1
15,0.9608498573303222,0.00258525546005586,0.08146147727966309,0.002059599621473022,0.01,100000,"{'C': 0.01, 'max_iter': 100000}",0.39482758620689656,0.3896551724137931,0.385146804835924,0.38860103626943004,0.36787564766839376,0.38522124947888753,0.0092112950321567,15,0.6277157931235918,0.6260316071939995,0.6047151846568686,0.605705146273727,0.6395397687295915,0.6207414999955556,0.013512480325882578,1
4,1.0169640064239502,0.0064960499494867594,0.07914175987243652,0.001046778867378652,1,1000,"{'C': 1, 'max_iter': 1000}",0.38448275862068965,0.3482758620689655,0.4006908462867012,0.39378238341968913,0.3540587219343696,0.37625811446608304,0.021201521813490463,19,0.619616540270519,0.5534339921368862,0.5287211626358823,0.5344065941511054,0.4822689914465004,0.5436894561281786,0.044592763777665176,20
0,0.9419025421142578,0.011324482924388878,0.06992111206054688,0.0020480112568695,10,1000,"{'C': 10, 'max_iter': 1000}",0.3586206896551724,0.33793103448275863,0.37305699481865284,0.3316062176165803,0.3022452504317789,0.34069203740098863,0.024237399723665416,20,0.5329502866902953,0.5919726118445326,0.56324281433898,0.5173760573844087,0.5340465923273687,0.5479176725171172,0.026551525041083174,19
